image,label,width,height,center_x,center_y
ISIC_0024318.jpg,DF,600,450,282,202
ISIC_0024330.jpg,DF,600,450,286,234
ISIC_0024386.jpg,DF,600,450,226,226
ISIC_0024396.jpg,DF,600,450,292,225
ISIC_0024553.jpg,DF,600,450,309,222
ISIC_0024845.jpg,DF,600,450,290,222
ISIC_0024973.jpg,DF,600,450,280,212
ISIC_0024994.jpg,DF,600,450,278,252
ISIC_0025154.jpg,DF,600,450,295,237
ISIC_0025223.jpg,DF,600,450,317,245
ISIC_0025302.jpg,DF,600,450,303,230
ISIC_0025314.jpg,DF,600,450,362,193
ISIC_0025373.jpg,DF,600,450,276,191
ISIC_0025504.jpg,DF,600,450,300,240
ISIC_0025594.jpg,DF,600,450,300,207
ISIC_0025622.jpg,DF,600,450,304,216
ISIC_0025668.jpg,DF,600,450,298,213
ISIC_0025771.jpg,DF,600,450,295,227
ISIC_0025903.jpg,DF,600,450,284,227
ISIC_0025911.jpg,DF,600,450,253,221
ISIC_0025954.jpg,DF,600,450,215,225
ISIC_0025980.jpg,DF,600,450,231,219
ISIC_0026254.jpg,DF,600,450,316,236
ISIC_0026313.jpg,DF,600,450,318,206
ISIC_0026417.jpg,DF,600,450,297,221
ISIC_0026471.jpg,DF,600,450,240,227
ISIC_0026473.jpg,DF,600,450,330,249
ISIC_0026629.jpg,DF,600,450,293,245
ISIC_0026789.jpg,DF,600,450,328,239
ISIC_0027008.jpg,DF,600,450,300,223
ISIC_0027044.jpg,DF,600,450,289,219
ISIC_0027107.jpg,DF,600,450,313,237
ISIC_0027118.jpg,DF,600,450,304,236
ISIC_0027141.jpg,DF,600,450,272,242
ISIC_0027188.jpg,DF,600,450,278,231
ISIC_0027216.jpg,DF,600,450,320,223
ISIC_0027488.jpg,DF,600,450,293,225
ISIC_0027598.jpg,DF,600,450,300,200
ISIC_0027613.jpg,DF,600,450,300,223
ISIC_0027626.jpg,DF,600,450,252,225
ISIC_0027648.jpg,DF,600,450,320,232
ISIC_0027727.jpg,DF,600,450,294,197
ISIC_0027745.jpg,DF,600,450,320,209
ISIC_0027876.jpg,DF,600,450,367,205
ISIC_0028346.jpg,DF,600,450,304,227
ISIC_0028651.jpg,DF,600,450,285,222
ISIC_0028735.jpg,DF,600,450,306,222
ISIC_0028790.jpg,DF,600,450,320,247
ISIC_0028880.jpg,DF,600,450,278,229
ISIC_0028926.jpg,DF,600,450,268,239
ISIC_0029039.jpg,DF,600,450,306,255
ISIC_0029052.jpg,DF,600,450,256,231
ISIC_0029130.jpg,DF,600,450,276,205
ISIC_0029177.jpg,DF,600,450,244,230
ISIC_0029248.jpg,DF,600,450,442,288
ISIC_0029297.jpg,DF,600,450,272,235
ISIC_0029578.jpg,DF,600,450,308,211
ISIC_0029760.jpg,DF,600,450,284,213
ISIC_0029783.jpg,DF,600,450,178,171
ISIC_0029824.jpg,DF,600,450,296,217
ISIC_0029891.jpg,DF,600,450,440,234
ISIC_0029962.jpg,DF,600,450,275,236
ISIC_0029967.jpg,DF,600,450,310,206
ISIC_0029973.jpg,DF,600,450,205,213
ISIC_0030011.jpg,DF,600,450,333,248
ISIC_0030015.jpg,DF,600,450,267,231
ISIC_0030021.jpg,DF,600,450,292,239
ISIC_0030244.jpg,DF,600,450,296,217
ISIC_0030321.jpg,DF,600,450,257,183
ISIC_0030427.jpg,DF,600,450,283,218
ISIC_0030442.jpg,DF,600,450,446,283
ISIC_0030555.jpg,DF,600,450,284,227
ISIC_0030579.jpg,DF,600,450,291,241
ISIC_0030665.jpg,DF,600,450,246,231
ISIC_0030757.jpg,DF,600,450,294,235
ISIC_0030830.jpg,DF,600,450,255,246
ISIC_0030870.jpg,DF,600,450,292,217
ISIC_0031002.jpg,DF,600,450,292,217
ISIC_0031123.jpg,DF,600,450,306,226
ISIC_0031257.jpg,DF,600,450,287,215
ISIC_0031271.jpg,DF,600,450,317,245
ISIC_0031309.jpg,DF,600,450,291,219
ISIC_0031344.jpg,DF,600,450,304,239
ISIC_0031358.jpg,DF,600,450,269,211
ISIC_0031372.jpg,DF,600,450,307,225
ISIC_0031429.jpg,DF,600,450,360,248
ISIC_0031443.jpg,DF,600,450,298,218
ISIC_0031457.jpg,DF,600,450,292,233
ISIC_0031735.jpg,DF,600,450,275,239
ISIC_0031799.jpg,DF,600,450,281,204
ISIC_0031827.jpg,DF,600,450,324,216
ISIC_0032114.jpg,DF,600,450,331,247
ISIC_0032138.jpg,DF,600,450,317,229
ISIC_0032247.jpg,DF,600,450,344,246
ISIC_0032410.jpg,DF,600,450,313,207
ISIC_0032468.jpg,DF,600,450,295,219
ISIC_0032613.jpg,DF,600,450,278,230
ISIC_0032642.jpg,DF,600,450,282,228
ISIC_0032941.jpg,DF,600,450,258,232
ISIC_0033005.jpg,DF,600,450,280,219
ISIC_0033256.jpg,DF,600,450,300,229
ISIC_0033422.jpg,DF,600,450,298,231
ISIC_0033554.jpg,DF,600,450,272,205
ISIC_0033626.jpg,DF,600,450,292,209
ISIC_0033675.jpg,DF,600,450,294,241
ISIC_0033695.jpg,DF,600,450,327,229
ISIC_0033780.jpg,DF,600,450,282,210
ISIC_0033790.jpg,DF,600,450,280,235
ISIC_0033808.jpg,DF,600,450,342,237
ISIC_0033810.jpg,DF,600,450,303,218
ISIC_0033847.jpg,DF,600,450,341,235
ISIC_0033860.jpg,DF,600,450,310,215
ISIC_0033891.jpg,DF,600,450,284,215
ISIC_0034135.jpg,DF,600,450,289,214
ISIC_0034169.jpg,DF,600,450,281,223
13256_2022_3728_Fig6_HTML.jpg,DFSP,896,674,532,291
28704tn.jpg,DFSP,380,247,171,139
CCR3-10-e6218-g001.jpg,DFSP,551,847,351,521
cureus-0017-00000097887-i01.jpg,DFSP,750,561,434,264
Dermatofibrosarcoma-protuberans-clin_fee391183f15cb4d62773032fe0be92d.jpg,DFSP,1118,868,585,487
dermatofibrosarcoma010_2615addf7111d83624b7a7a5f3466fb3.jpg,DFSP,300,300,174,137
dermatofibrosarcoma02_fee391183f15cb4d62773032fe0be92d.jpg,DFSP,500,333,248,173
dermatofibrosarcoma04_fee391183f15cb4d62773032fe0be92d.jpg,DFSP,600,450,334,219
dermatofibrosarcoma07_fee391183f15cb4d62773032fe0be92d.jpg,DFSP,600,450,401,276
