epoch,train_loss,train_iou,train_center_distance,val_loss,val_iou,val_center_distance
1,0.005313250290730218,0.66288892816914,0.05760586898563745,0.0022703170905226506,0.7618528226991514,0.03812301754356026
2,0.001675473132412053,0.783839301829688,0.033488768304935766,0.001548819479006403,0.8145436964311323,0.02792214391591189
3,0.0010352980566229178,0.818918669872503,0.02634962581942454,0.0013083478132449836,0.8313303851223849,0.025771932570369808
4,0.0006917172039036476,0.8425120290850497,0.02250373967575896,0.0013419474944003395,0.8340106286726274,0.024086881469894243
5,0.0005317721048024071,0.857531842980692,0.019241765104290015,0.0012905876177570575,0.8387945348566229,0.023199333326442615
6,0.00043710875933426345,0.867446957620096,0.017436866775430326,0.0013293153034163998,0.8341075514222716,0.023798089344184717
7,0.00036935742776045836,0.8753290989371579,0.015828103708643588,0.001136633601965621,0.8502983108505264,0.022040634171350614
8,0.0003230922499855704,0.8823510494698779,0.014589736592424433,0.0011891472380090556,0.8508947336233103,0.02164259340081896
9,0.0002825239188851732,0.8881567907642854,0.013735131956209139,0.0011968682921032416,0.8553511117483591,0.020884557054950282
10,0.0002518496451993797,0.894986265728132,0.013093343652743908,0.001113735590144977,0.8580839736359221,0.020158923291540766
